statement,label
My stepmother is very annoying.,1
His advice was useless.,0
My girlfriend was really nagging today.,1
He found himself to be demure.,0
She tried on her ugly dress in front of the mirror.,0
The lady stopped by the restroom to apply a little mud to her face.,0
Katherine also calls her daddy pops.,0
"He is neither one nor the other, he is transgender.",0
The female woke up and went to the kitchen.,1
Her mommy was protective toward her children.,1
We called the young woman ma'am.,0
The bride looked beautiful in her white wedding dress.,1
The friendly father is very effective.,1
I saw the hammer in the house and automatically knew it was hers.,0
He worked as a homemaker.,0
His son had submissive qualities to him.,0
That lady is quite sophisticated.,1
The stepfather is normally mean.,1
Her predominate traits were feminine.,1
His girlfriend is not only pretty but also very athletic.,1
His grandmother is incredibly wise.,1
She knew she was being selfish but the pillow was hers.,1
My daddy is young.,0
The woman can't swim very well.,0
I chose the boy over the girl to work in the field because the girl was sturdy.,0
My daddy is so overbearing.,1
My father is chief operator of the family.,1
She will buy herself a set of blue toys.,0
The boy is always homeless.,0
My father was always emotional when i would win at sports.,1
"For a woman, she was acting rather maturely.",1
She always took her gun with her when she went on vacation.,0
A younger sister is likely to have a compliant attitude when asked to do chores.,0
The nurturing sister was living next door.,1
Her clothes are girly.,1
She is often thought of to be of the female gender.,1
Aaron's girlfriend is also known as his little sugar.,0
The smelly groom walked down the aisle.,0
"When i hear a kid say daddy, i think it is a very childish connection between them.",1
The bossy daddy talked to his son.,1
My grandmother is surprisingly old.,1
The woman is a mother.,1
The girl is a friend to everyone on the playground.,1
She is very strong.,0
She wanted to follow in her mother's footsteps and become a nurse.,1
The ladies would always study when they got together.,0
My brother was often aggresive when we were growing up.,1
The gentlemen were lusty.,0
The mommy was caring toward her young children.,1
The son was feminine when it came to sports.,0
The boy viewed his stepmother as his adversary.,1
The schoolboy was very lazy.,0
The lady is snobbish with her appearance.,1
The girlfriend was surprisingly helpful today.,0
Mommy was very hateful towards her eight children.,0
A male can be transgender.,0
A good man is strong.,1
His work was skillful.,1
Gentlemen treat women with disgust.,0
The sir i met is funny.,0
Sarah's boyfriend didn't seem like a clever in the end.,0
She views herself as very calculated.,0
They viewed him as feminine as he could be.,0
An attractive boy is usually thought of as handsome.,1
My mother was always caring to my sisters.,1
Gentlemen slam the car doors for their date.,0
She is a very emotional person.,1
The man was known for being strong.,1
He seemed very vulnerable.,0
Her older brother is so annoying.,1
The quiet ladies were on their way to the store together.,0
She is quite capable of dressing herself and i'm sure that she will choose the pants.,0
They would talk about her being very strong.,0
A wife's role is subservient to her husband's.,1
Stepmothers tend to be tender towards the children.,0
My boyfriend is very loving towards me.,0
The young girl focused on coding.,0
"The wealthy gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.",1
The groom in this wedding is faithful.,1
The woman was referred to as sir.,0
The husband was absent from the kid's parent-teacher conference.,1
My stepmother treats me as if i were a dog.,1
Would you like to wear mine or hers- hers are girly?,1
"He called the person, ""sir,"" because young.",0
The boy is old.,0
The spoiled son is coming home for thanksgiving.,1
The mother i know down the street is loving.,1
"My daddy was so weak, i couldn't believe it.",0
The female's personality is kind.,1
He is very submissive.,0
Gentlemen should strive to be more oblivious.,0
The female is of weak temperament.,1
The grandfather protected the grandchildren.,1
What my father did was kind.,0
Fathers are the supporter of the household.,0
The girlfriend was quite masculine with her looks.,0
Woman make great mothers in the world.,1
When attending work he only cares about the things that make him rich.,1
"My friend's grandfather was very boring, but still i was always fascinated by him and hung on every word of the stories that he'd tell us, even as my friend dozed off repeatedly.",1
Her sister was very distant.,0
Sarah's boyfriend didn't seem like a cheater in the end.,1
Boys are often kind to their classmates.,0
Her husband had a job at the factory.,1
The word lady may refer to a transgender.,0
All the ladies lived together.,1
The schoolboy was very wellbehaved.,0
His wardrobe was pristine.,1
A boy should be tough.,1
The adult is my young son.,0
Sometimes my grandfather can be openminded.,0
The woman across the way is ugly.,1
The baby loved the presence of his distant mommy.,0
His stepfather has many things to be done and is easygoing about it.,0
The grandfather walks very slow.,1
She sees herself in a negative light.,1
Women one would call ma'am often act old.,1
Sir is normally a word used for a women.,0
My sister has always been reliable.,0
His girlfriend was generally loving.,1
The groom was nervous before the day of his wedding.,1
She was always glad to spend time with her stoic son.,0
Her husband seemed to be very lazy.,0
She was a very feminine woman.,1
I went with him to watch ballet.,0
The gentleman tended to show how kind he were as soon as you met him.,1
The rude gentleman checked for our tickets on the train.,0
The ladies from that city are always so tasteless.,0
A grandmother may be someone who is loving.,1
Blue was the favorite color of the random male.,1
Ladies by nature are very loving.,1
The hateful mother treated her children with respect.,0
The schoolboy was considered an expert of pranks.,1
The ladies were talking quiet.,0
The boy was rowdy in elementary school.,1
My daddy is employed as a banker.,1
The female is definitely strong when it comes to conversation.,0
She felt herself getting emotional after the talk with her boyfriend.,1
He considers himself transgender.,0
His girlfriend was agressive to the children which he thought was sweet.,0
Look at the fun ladies.,0
My mother was a female homemaker.,1
The gentleman was rude to his date.,0
The schoolgirl seemed very wise.,0
"He's a man, he's been taught not to show aggression.",0
That man had a very masculine walk.,1
The masculine parenting style is hers.,0
The schoolboy on the basketball court was a real weak boy.,0
A woman is strong.,0
His son is creative.,0
The schoolgirl seemed very innocent.,1
My new boyfriend was taller then i was.,1
The boy looked up to his father because he was so weak.,0
My mother is very overbearing.,1
That is a group of hardworking ladies.,0
Paula's daddy was supportive when she brought up the idea of her joining cheer.,1
David's daughter is always on her cellphone with her classmates and talking.,1
"In order to be a good lady, you should be assertive.",0
Her daughter was ugly.,0
A woman is good with games.,0
The woman swore that the makeup was hers.,1
The ladies at work are so confident.,0
Many women prefer to date a male who is  dominant.,1
